% Age (Ma)         ecc            prec           obl
  -67100.000       0.012339      -0.007367       0.402463
  -67095.000       0.017462      -0.015882       0.394213
  -67090.000       0.022761       0.007254       0.392874
  -67085.000       0.027799       0.026910       0.398072
  -67080.000       0.032356      -0.006088       0.405206
  -67075.000       0.036219      -0.035952       0.410041
  -67070.000       0.039142       0.002075       0.410823
  -67065.000       0.040980       0.040977       0.408195
  -67060.000       0.041757       0.002968       0.403710
  -67055.000       0.041507      -0.041174       0.399191
  -67050.000       0.040383      -0.007353       0.396924
  -67045.000       0.038500       0.037288       0.398822
  -67040.000       0.036027       0.012088       0.404627
  -67035.000       0.033193      -0.029628       0.410703
  -67030.000       0.030253      -0.017698       0.412172
  -67025.000       0.027252       0.018921       0.406830
  -67020.000       0.024514       0.020491       0.397694
  -67015.000       0.022057      -0.008318       0.392019
  -67010.000       0.020117      -0.019836       0.395300
  -67005.000       0.018735      -0.002045       0.405794
  -67000.000       0.018318       0.016585       0.415530
  -66995.000       0.018924       0.013384       0.417186
  -66990.000       0.020665      -0.009494       0.409588
  -66985.000       0.023140      -0.022458       0.397933
  -66980.000       0.026002       0.002228       0.390322
  -66975.000       0.028860       0.028851       0.391581
  -66970.000       0.031540       0.003790       0.399757
  -66965.000       0.033584      -0.032801       0.409191
  -66960.000       0.034902      -0.010759       0.414973
  -66955.000       0.035269       0.032422       0.415175
  -66950.000       0.034693       0.016153       0.410068
  -66945.000       0.033150      -0.028268       0.401459
  -66940.000       0.030846      -0.017373       0.393044
  -66935.000       0.027827       0.022345       0.389782
  -66930.000       0.024318       0.015549       0.395030
  -66925.000       0.020567      -0.014492       0.406482
  -66920.000       0.016918      -0.013726       0.416852
  -66915.000       0.013470       0.005242       0.418933
  -66910.000       0.010658       0.010593       0.410742
  -66905.000       0.008585       0.001942       0.397574
  -66900.000       0.007508      -0.006173       0.389136
  -66895.000       0.007195      -0.005995       0.391996
  -66890.000       0.007481       0.001668       0.403209
  -66885.000       0.008023       0.007965       0.413582
  -66880.000       0.008833       0.003608       0.415975
  -66875.000       0.009638      -0.007590       0.409664
  -66870.000       0.010485      -0.007821       0.399903
  -66865.000       0.011066       0.006365       0.393628
  -66860.000       0.011348       0.009748       0.394575
  -66855.000       0.011116      -0.005167       0.401232
  -66850.000       0.010420      -0.009409       0.409072
  -66845.000       0.009058       0.003804       0.413951
  -66840.000       0.007149       0.006363       0.413414
  -66835.000       0.004903      -0.003034       0.407165
  -66830.000       0.003183      -0.000835       0.397691
  -66825.000       0.004105       0.003243       0.390274
  -66820.000       0.006780      -0.005912       0.390670
  -66815.000       0.009836      -0.003540       0.400233
  -66810.000       0.012672       0.011979       0.413524
  -66805.000       0.015124       0.005409       0.421809
  -66800.000       0.017027      -0.015442       0.419106
  -66795.000       0.018316      -0.009038       0.406197
  -66790.000       0.018958       0.015862       0.391003
  -66785.000       0.019204       0.011514       0.384296
  -66780.000       0.019245      -0.014303       0.391019
  -66775.000       0.019165      -0.014824       0.405717
  -66770.000       0.019163       0.008916       0.418029
  -66765.000       0.019371       0.018769       0.420805
  -66760.000       0.019876      -0.000487       0.413484
  -66755.000       0.020525      -0.020188       0.401334
  -66750.000       0.021242      -0.007377       0.391997
  -66745.000       0.021851       0.019006       0.390701
  -66740.000       0.022488       0.014256       0.397249
  -66735.000       0.023274      -0.014683       0.407039
  -66730.000       0.024426      -0.021927       0.414320
  -66725.000       0.025946       0.005663       0.415222
  -66720.000       0.028016       0.028016       0.409147
  -66715.000       0.030390       0.005221       0.399287
  -66710.000       0.032909      -0.031399       0.391869
  -66705.000       0.035320      -0.013969       0.392622
  -66700.000       0.037410       0.032706       0.401857
  -66695.000       0.038894       0.022904       0.413368
  -66690.000       0.039646      -0.028402       0.419022
  -66685.000       0.039521      -0.031451       0.414309
  -66680.000       0.038654       0.019092       0.401527
  -66675.000       0.037278       0.034333       0.389293
  -66670.000       0.035702      -0.009994       0.386978
  -66665.000       0.034058      -0.033768       0.396682
  -66660.000       0.032919      -0.002444       0.411399
  -66655.000       0.032472       0.030794       0.421261
  -66650.000       0.032933       0.018165       0.420387
  -66645.000       0.034009      -0.023050       0.409700
  -66640.000       0.035463      -0.030196       0.395776
  -66635.000       0.036930       0.014629       0.386987
  -66630.000       0.038433       0.036875       0.388613
  -66625.000       0.039670      -0.006088       0.399159
  -66620.000       0.040724      -0.040723       0.411950
  -66615.000       0.041541      -0.007741       0.419968
  -66610.000       0.042331       0.039401       0.419100
  -66605.000       0.042941       0.022294       0.409615
  -66600.000       0.043502      -0.033688       0.396527
  -66595.000       0.043823      -0.031049       0.387826
  -66590.000       0.043926       0.028190       0.389551
  -66585.000       0.043518       0.036014       0.400665
  -66580.000       0.042451      -0.019079       0.413547
  -66575.000       0.040583      -0.038606       0.419685
